movie_title,imdb_score,profit
Avatar,7.9,523505847
"Pirates of the Caribbean: At World's End",7.1,9404152
Spectre,6.8,-44925825
"The Dark Knight Rises",8.5,198130642
"Star Wars: Episode VII - The Force Awakens",7.1,NULL
"John Carter",6.6,-190641321
Tangled,7.8,-59192738
"Avengers: Age of Ultron",7.5,208991599
"Harry Potter and the Half-Blood Prince",7.5,51956980
"Batman v Superman: Dawn of Justice",6.9,80249062
"Superman Returns",6.1,-8930592
"Quantum of Solace",6.7,-31631573
"Pirates of the Caribbean: Dead Man's Chest",7.3,198032628
"The Lone Ranger",6.5,-125710090
"Man of Steel",7.2,66021565
"The Chronicles of Narnia: Prince Caspian",6.6,-83385977
"The Avengers",8.1,403279547
"Pirates of the Caribbean: On Stranger Tides",6.7,-8936125
"Men in Black 3",6.8,-45979146
"The Hobbit: The Battle of the Five Armies",7.5,5108370
"The Amazing Spider-Man",7,32030663
"Robin Hood",6.7,-94780265
"The Hobbit: The Desolation of Smaug",7.9,33355354
"The Golden Compass",6.1,-109916481
Titanic,7.7,458672302
"Captain America: Civil War",8.2,157197282
Battleship,5.9,-143826840
"Jurassic World",7,502177271
"Spider-Man 2",7.3,173377893
"Iron Man 3",7.2,208992272
"X-Men: The Last Stand",6.8,24360014
"Monsters University",7.3,68488329
"Transformers: Revenge of the Fallen",6,202076689
"Transformers: Age of Extinction",5.7,35428137
"The Amazing Spider-Man 2",6.7,2853933
"Cars 2",6.3,-8549125
"Green Lantern",5.6,-83406809
"Toy Story 3",8.3,214984497
"Terminator Salvation",6.6,-74679997
"Furious 7",7.2,160034110
"World War Z",7,12351611
"X-Men: Days of Future Past",8,33914986
"Star Trek Into Darkness",7.8,38756232
"Jack the Giant Slayer",6.3,-129828140
"Prince of Persia: The Sands of Time",6.6,-109244357
"Pacific Rim",7,-88214518
"Transformers: Dark of the Moon",6.3,157358779
"Indiana Jones and the Kingdom of the Crystal Skull",6.2,132011114
"The Good Dinosaur",6.8,NULL
Brave,7.2,52282182
"Star Trek Beyond",7.5,-54531374
"WALL  E",8.4,43806889
"Rush Hour 3",6.2,80850
2012,5.8,-33887833
"A Christmas Carol",6.8,-62149904
"Jupiter Ascending",5.4,-128624673
"The Legend of Tarzan",6.6,-55948241
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,111709845
"X-Men: Apocalypse",7.3,-23014913
"The Dark Knight",9,348316061
Up,8.3,117979556
"Monsters vs. Aliens",6.5,23332128
"Iron Man",7.9,178298180
Hugo,7.5,-96179906
