movie_title,profit,imdb_score
"Blood Diamond",-42633738,8
"Cinderella Man",-26355679,8
"Big Fish",-3742998,8
"Fight Club",-25976605,8.8
Casino,-9561700,8.2
"The Iron Giant",-46840695,8
"Am  lie",-43798339,8.4
"Baahubali: The Beginning",-11528148,8.4
Serenity,-14664065,8
"The Thing",-1217162,8.2
Rush,-11096291,8.1
Magnolia,-14549025,8
"The Pianist",-2480678,8.5
"Blood In, Blood Out",-30503417,8
"Once Upon a Time in America",-24700000,8.4
"Blade Runner",-1000000,8.2
"Winged Migration",-149237822,8
Warrior,-11348338,8.2
"Howl's Moving Castle",-19289545,8.2
"Princess Mononoke",-2397701809,8.4
"Spirited Away",-8950114,8.6
"Raging Bull",-17954750,8.3
"Lawrence of Arabia",-9000000,8.4
Brazil,-5071000,8
"In Bruges",-7242870,8
"Mulholland Drive",-7780422,8
Metropolis,-5973565,8.3
Downfall,-7998060,8.3
"The Sea Inside",-7913655,8.1
"True Romance",-718500,8
"Dancer in the Dark",-8642509,8
"Tae Guk Gi: The Brotherhood of War",-11689814,8.1
"Das Boot",-2566866,8.4
"American History X",-787759,8.6
"The Straight Story",-3802134,8
"My Name Is Khan",-7981305,8
Akira,-1099560838,8.1
Persepolis,-2856597,8
"Elite Squad",-3991940,8.1
"Requiem for a Dream",-890722,8.4
"Donnie Darko",-3772117,8.1
Samsara,-1398153,8.5
"The Hunt",-3189032,8.3
Oldboy,-818710,8.4
"No End in Sight",-569815,8.3
"In the Shadow of the Moon",-865951,8.1
"Modern Times",-1336755,8.6
"The Act of Killing",-515779,8.2
"Seven Samurai",-1730939,8.7
"The Other Dream Team",-366222,8.4
"Nothing But a Man",-147562,8.1
